,review_score,order_count,Total_Price
0,4,1,146.87
1,1,2,137.89
3,3,1,140.60999999999999
4,4,1,137.57999999999998
5,4,1,142.04999999999998
6,4,1,155.7
7,2,1,148.32999999999998
8,3,1,150.07
9,2,2,128.75
11,4,6,140.60999999999999
17,2,1,145.57999999999998
18,3,1,151.17
19,3,2,135.0
21,4,1,160.18
22,2,1,148.45
23,5,1,141.14
24,2,1,154.95999999999998
25,5,1,140.03
26,5,1,143.57999999999998
27,5,5,174.07
32,4,1,143.57999999999998
33,3,1,174.07
34,4,1,136.47
35,1,1,164.79
36,1,2,197.74
37,1,2,253.39000000000001
38,3,1,140.53
39,5,1,143.57999999999998
40,4,2,170.25
42,4,1,131.5
43,1,1,135.51999999999998
44,1,3,174.07
46,4,3,120.97999999999999
47,5,1,140.60999999999999
48,4,2,143.41
50,1,1,153.22
51,5,1,154.19
52,4,2,137.57999999999998
54,4,2,143.57999999999998
56,5,1,141.28
57,3,3,174.07
60,4,1,162.8
61,5,1,335.48
62,5,2,351.96000000000004
63,3,2,256.43
64,2,1,363.67
65,5,1,298.22
66,4,1,351.96000000000004
67,5,1,321.08
68,5,2,308.27
69,5,2,95.72
70,4,1,337.23
71,4,3,318.61
72,5,3,106.08
74,5,1,275.63
75,3,1,388.28000000000003
76,5,1,335.48
77,4,1,316.34000000000003
78,5,1,305.27
79,5,1,298.22
80,5,1,311.35
81,4,1,298.22
82,1,1,303.63
83,4,1,326.09000000000003
84,5,1,351.40000000000003
85,5,2,321.08
86,5,2,352.76
87,4,1,335.48
88,4,1,343.7
89,4,1,305.27
90,5,1,315.32
91,5,1,318.34000000000003
92,5,1,318.61
93,5,1,336.48
94,5,1,354.02
95,5,1,422.61
96,4,1,381.17
97,5,3,335.48
100,4,1,315.34000000000003
101,5,1,305.27
102,3,1,321.08
103,5,1,339.21000000000004
104,5,1,343.4
105,5,1,335.48
106,3,2,357.97
107,5,2,43.1
108,5,1,421.46000000000004
109,4,1,318.61
110,5,1,298.22
111,4,1,336.48
112,1,1,368.46000000000004
113,5,1,157.73
114,5,2,232.49
116,4,1,157.65
117,1,2,186.26
119,5,1,159.09
120,4,1,192.05
121,4,1,176.15
122,4,1,184.5
123,5,1,173.3
124,5,2,220.66000000000003
126,5,1,217.61
127,1,2,186.07999999999998
129,5,1,218.64
130,3,1,175.5
131,4,4,206.79
135,4,3,235.73
138,2,3,199.51999999999998
141,5,5,167.43
142,5,5,225.92000000000002
146,3,1,179.78
147,5,1,252.25
148,2,1,278.65999999999997
149,1,1,282.8
150,5,1,246.36
151,5,2,282.21
152,5,2,283.67
153,3,3,305.42999999999995
154,5,3,228.91
156,2,1,298.30999999999995
157,5,2,284.03999999999996
159,5,1,22.77
160,5,1,22.77
161,5,2,22.77
163,5,3,39.1
164,5,3,44.089999999999996
166,5,2,38.34
168,5,1,32.94
169,1,1,43.230000000000004
170,5,3,40.1
171,5,3,45.23
173,3,1,41.79
174,5,1,40.230000000000004
175,5,1,122.47
176,4,1,126.9
177,5,2,120.52000000000001
178,5,2,223.61
179,5,1,122.47
180,4,1,129.87
181,4,1,118.43
182,5,1,101.36
183,5,1,94.36
184,2,1,123.47
185,1,2,113.21000000000001
186,1,2,115.31
187,5,1,121.9
188,1,2,108.54
189,1,2,165.91000000000003
190,5,1,124.04
191,4,1,126.9
192,4,1,122.47
193,5,1,118.65
194,5,1,91.78999999999999
195,3,1,88.53999999999999
196,5,1,117.08000000000001
197,5,1,102.50999999999999
198,4,1,123.47
199,3,2,143.01
200,4,2,355.51
201,5,1,114.17
202,5,1,122.47
203,5,1,121.09
204,5,1,132.4
205,1,1,135.96
206,5,1,120.09
207,5,1,122.47
208,5,1,123.47
209,4,1,91.78999999999999
210,5,1,131.47
211,4,1,123.47
212,4,3,78.45
213,4,3,98.13999999999999
214,4,3,112.52
215,5,1,121.68
216,5,1,120.09
217,5,1,123.14
218,5,1,134.14000000000001
219,5,1,122.47
220,5,1,124.04
221,3,1,118.65
222,5,1,123.47
223,5,1,118.65
224,1,1,124.47
225,5,1,126.9
226,4,1,118.65
227,5,1,88.44
228,5,1,126.9
229,3,1,120.52000000000001
230,5,1,101.36
231,5,1,123.47
232,5,1,117.08000000000001
233,4,1,118.43
234,5,1,118.43
235,5,1,121.09
236,5,1,120.09
237,5,1,83.32
238,5,1,123.47
239,5,1,121.09
240,4,1,121.9
241,5,1,143.01
242,5,1,124.25
243,5,1,112.74000000000001
244,5,1,111.28
245,4,2,126.68
247,5,1,120.09
248,1,2,173.18
249,1,2,107.23
250,5,1,134.14000000000001
251,5,1,121.68
252,3,1,127.04
253,5,1,126.9
